game_id,play_id,annotation_code,court_x,court_y
19783001319551,6,d1,5.710742501112131,34.12272746746357
19783001319551,6,d2,5.287257698866037,14.042897407825176
19783001319551,6,d3,9.318426664058979,6.612670421600342
19783001319551,6,d4,13.188731725399311,17.685114420377293
19783001319551,6,d5,21.786111244788536,25.203976264366737
19783001319551,6,s,10.767018519915068,1.7216248007921071
19783001319551,6,t1,9.606983093115,45.07533953740047
19783001319551,6,t2,6.590887794127831,14.623409051161547
19783001319551,6,t3,22.388302399561955,12.894430527320274
19783001319551,6,t4,35.14796286362868,23.594487630403957